股票代码,主营业务,产品类型,产品名称,经营范围,股票名称
920427,工程设计及其延伸业务服务。,勘察设计、规划咨询、砂石贸易、集成电路封测,勘察设计、规划咨询、砂石贸易、集成电路封测,许可项目：建设工程设计，人防工程设计，建设工程勘察，建设工程施工，建筑智能化系统设计，住宅室内装饰装修，国土空间规划编制，地质灾害危险性评估，互联网信息服务，第二类增值电信业务，测绘服务，检验检测服务，安全评价业务（依法须经批准的项目，经相关部门批准后在许可有效期内方可开展经营活动，具体经营项目和许可期限以相关部门批准文件或许可证件为准）一般项目：规划设计管理，专业设计服务，工程管理服务，工程造价咨询业务，招投标代理服务，工业工程设计服务，技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广，工程技术服务（规划管理、勘察、设计、监理除外），技术进出口，社会稳定风险评估，节能管理服务，安全咨询服务，环保咨询服务，信息技术咨询服务，信息咨询服务（不含许可类信息咨询服务），教育咨询服务（不含涉许可审批的教育培训活动），软件开发，图文设计制作，电力设施器材销售，建筑材料销售，建筑装饰材料销售，机械设备租赁，货物进出口，非居住房地产租赁，物业管理，数字内容制作服务（不含出版发行），商业综合体管理服务，游览景区管理，园区管理服务，工程和技术研究和试验发展，信息系统集成服务，人工智能应用软件开发，人工智能行业应用系统集成服务，土地调查评估服务，土地整治服务，对外承包工程，互联网数据服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,华维设计
688622,质谱仪的研发、生产、销售、服务。,仪器销售、技术服务,环保在线监测仪器、实验室分析仪器、生物质谱仪器、其他自制仪器、数据分析服务、技术运维服务,技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；信息系统集成服务；信息技术咨询服务；机械设备租赁；仪器仪表制造；仪器仪表销售；环境保护专用设备销售；大气污染治理；实验分析仪器制造；环境监测专用仪器仪表制造；环境保护监测；仪器仪表修理；电子元器件制造；汽车新车销售；专用设备修理；计算机及办公设备维修；工程和技术研究和试验发展；机械零件、零部件加工；软件销售；电子产品销售；电子元器件批发；非居住房地产租赁；水污染治理；第一类医疗器械销售；第二类医疗器械销售；医疗设备租赁；物业管理；停车场服务；货物进出口；技术进出口。,*ST禾信
920083,功能性材料研发、生产和销售。,导热粉体材料、阻燃粉体材料、吸波粉体材料、其他功能材料,导热粉体材料、阻燃粉体材料、吸波粉体材料、其他功能材料,一般项目：电子专用材料研发；电子专用材料制造；电子专用材料销售；非金属矿物制品制造；非金属矿及制品销售；石墨及碳素制品制造；石墨及碳素制品销售；磁性材料生产；磁性材料销售；新材料技术研发；新材料技术推广服务；货物进出口；非居住房地产租赁；装卸搬运。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,金戈新材
920227,向电商商家提供SaaS软件等增值服务。,SaaS服务、电商客服外包、短信包、阿里云-云码,SaaS服务、电商客服外包、短信包、阿里云-云码,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；企业管理咨询；市场营销策划；广告设计、代理；广告发布；专业设计服务(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：第二类增值电信业务(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。,美登科技
300741,香精与配料的研发、生产、销售及服务，致力于为下游行业提供风味综合解决方案。,食用香精、食品配料、日用香精,食品用香精、食品配料、日用香精,许可项目：食品生产；食品销售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门许可证件为准）一般项目：工程和技术研究和试验发展；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；日用化学产品制造；日用化学产品销售；货物进出口；企业总部管理；企业管理咨询；财务咨询；人力资源服务（不含职业中介活动、劳务派遣服务）；信息技术咨询服务；软件开发（除依法须经批准的项目外，自主开展法律法规未禁止、限制的经营活动）,华宝股份
300691,提供以光成像、光显示、光感知为核心技术的光学系统解决方案。,光学镜头、光学元器件,光学镜头、光学元器件,生产经营各类光电镜头产品，新型电子元器件制造、图形图像识别和处理系统制造、模具制造及上述产品的售后服务；Ⅱ类6822医用光学器具、仪器及内窥镜设备；工业用房出租、商业营业用房出租、办公楼出租；企业管理；物业管理；信息技术咨询服务；第一、二类医疗器械的生产、销售；消毒设备及消毒器具的研发、生产、加工、销售；医疗器械生产；医疗器械技术的开发。（上述经营范围涉及：第二类、第三类医疗器械经营，医疗器械生产，消毒产品生产）（上述涉及许可经营的凭许可证经营。）（依法须经批准的项目，经相关部门批准后方可开展经营活动。）,联合光电
300785,AI与内容驱动的数字消费服务。,信息推广、互联网效果营销平台、运营服务、品牌营销,信息推广、互联网效果营销平台、运营服务、品牌营销,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；广告发布；社会经济咨询服务；市场调查（不含涉外调查）；计算机系统服务；数据处理服务；国内货物运输代理；以自有资金从事投资活动；摄影扩印服务；技术进出口；货物进出口；进出口代理；计算机软硬件及辅助设备零售；通信设备销售；电子产品销售；文具用品零售；日用品销售；工艺美术品及收藏品零售（象牙及其制品除外）；珠宝首饰零售；机械设备销售；家用电器销售；服装服饰零售；鞋帽零售；化妆品零售；钟表销售；针纺织品销售；汽车零配件零售；体育用品及器材零售；卫生用品和一次性使用医疗用品销售；信息咨询服务（不含许可类信息咨询服务）；组织文化艺术交流活动；第一类医疗器械销售；第二类医疗器械销售；人工智能应用软件开发；人工智能基础软件开发；数字内容制作服务（不含出版发行）；租赁服务（不含许可类租赁服务）；数字文化创意软件开发；网络技术服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：演出经纪；食品销售；基础电信业务；网络文化经营；第三类医疗器械经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,值得买
688112,通用电子测试测量仪器的研发、生产和销售。,数字示波器、波形和信号发生器、频谱分析仪、矢量网络分析仪、可编程电源、万用表,数字示波器、波形和信号发生器、频谱分析仪、矢量网络分析仪、可编程电源、万用表,从事数字示波器、信号发生器、频谱分析仪、矢量网络分析仪、电源、万用表、电子负载等通用电子测试测量仪器及相关解决方案的设计、研发，制造和销售；测试测量仪器、通信仪器、分析仪器、其他高科技电子产品、附件和软件产品及其相关解决方案的设计、研发，制造和销售；提供技术咨询和校准、维护、维修、售后及相关配套服务；国内贸易（不含专营、专控、专卖、限制商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营。）,鼎阳科技
300684,为客户解决热管理、电磁兼容等领域的技术难题，在提供解决方案过程中带动公司功能性材料、组件及模组等产品销售。,导热材料、EMI屏蔽材料,高导热石墨产品、导热界面材料、热管、均热板、热模组、EMI屏蔽材料,经营本企业和成员企业自产产品及技术出口业务；本企业和成员企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品除外）；经营进料加工和“三来一补”业务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,中石科技
301311,智能物流系统及装备、智能产线系统及装备、运营维护及备品备件、专项产品及相关服务四大领域。,智能物流系统及装备、智能产线系统及装备、专项产品及相关服务、运营维护及备品备件,智能物流系统及装备、智能产线系统及装备、专项产品及相关服务、运营维护及备品备件,许可项目：各类工程建设活动。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：园区管理服务；供应链管理服务；工业自动控制系统装置制造；智能仓储装备销售；工业机器人销售；智能机器人的研发；软件开发；物料搬运装备销售；工业自动控制系统装置销售；信息系统集成服务；智能控制系统集成；人工智能行业应用系统集成服务；物料搬运装备制造；工业机器人制造；智能物料搬运装备销售；物联网设备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；普通机械设备安装服务；电子、机械设备维护（不含特种设备）；电子元器件零售；电子产品销售；机械设备销售；仪器仪表销售；智能机器人销售；通讯设备销售；金属材料销售；通用设备修理；专用设备修理；电气设备修理；仪器仪表修理；计算机软硬件及辅助设备批发；软件销售；计算机系统服务；信息技术咨询服务；销售代理；采购代理服务；信息系统运行维护服务；计算机软硬件及外围设备制造；生物质能技术服务；规划设计管理；安防设备销售；安防设备制造；安全系统监控服务；数字视频监控系统制造；数字视频监控系统销售；信息安全设备制造；信息安全设备销售；机械零件、零部件加工；机械零件、零部件销售；工程管理服务；进出口代理；技术进出口；货物进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,昆船智能
301198,提供定制化可循环塑料包装整体解决方案。,组合成套类包装产品、厚壁吸塑类包装单元、薄壁吸塑类包装单元、周转箱类包装单元,衬垫组合包装产品、料架组合包装产品、围板箱组合包装产品、周转箱组合包装产品、厚壁吸塑类包装单元、薄壁吸塑类包装单元、周转箱类包装单元,一般项目：新材料技术研发；塑料制品制造；塑料制品销售；塑料包装箱及容器制造；金属包装容器及材料销售；生态环境材料制造；生态环境材料销售；包装服务；国内货物运输代理；食品用塑料包装容器工具制品销售；包装材料及制品销售；互联网销售（除销售需要许可的商品）；货物进出口；租赁服务（不含许可类租赁服务）(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：道路货物运输（不含危险货物）；危险化学品包装物及容器生产；食品用塑料包装容器工具制品生产(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。,喜悦智行
301360,智能装备的研发、设计、生产、销售及技术服务。,智能检测装备、智能组装装备、治具及配件,智能检测装备、智能组装装备、治具及配件,研发、生产、销售：精密机械、机电设备及配件、精密量具、工装夹具、非标自动化设备、机械手臂、软件产品，提供自动化系统解决方案咨询、测试服务，从事上述产品及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：机械设备租赁（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,荣旗科技
688123,高性能、高品质集成电路产品的研发设计和销售，并提供应用解决方案和技术支持服务。,存储类芯片、混合信号类芯片、NFC芯片,存储类芯片、混合信号类芯片、NFC芯片,集成电路产品的设计，研发，制造(委托加工)，销售自产产品；上述产品同类商品的批发，佣金代理(拍卖除外)及进出口(不涉及国营贸易管理商品，涉及配额，许可证管理商品的，按国家有关规定办理申请)；以及其他相关技术方案服务及售后服务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】。,聚辰股份
301132,印制电路板的研发、生产和销售。,印刷电路板,印刷电路板,线路板生产、加工及销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,满坤科技
688608,低功耗无线计算SoC芯片的研发、设计与销售。,无线音频芯片、智能可穿戴芯片、智能硬件芯片,无线音频芯片、智能可穿戴芯片、智能硬件芯片,从事电子科技、通信科技、网络科技、计算机科技领域内的技术开发、技术咨询、技术服务、技术转让，上述技术及电子产品及设备、计算机软件（音像制品及电子出版物除外）及辅助设备的批发、进出口、佣金代理（拍卖除外）及其相关配套服务，半导体集成电路芯片及计算机软、硬件的设计、研发、销售，计算机信息系统集成。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,恒玄科技
301197,智慧供热、清洁供热、低碳园区综合能源系统等绿色节能解决方案与核心技术的研发及应用。,热网智能感知与调控系统、智慧供热应用平台、供热托管服务、合同能源管理,热网智能感知与调控系统、智慧供热应用平台、供热托管服务、合同能源管理,一般项目：信息系统集成服务；信息系统运行维护服务；软件开发；软件销售；新兴能源技术研发；合同能源管理；热力生产和供应；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；集成电路设计；集成电路销售；智能控制系统集成；智能仪器仪表制造；智能仪器仪表销售；物联网设备制造；物联网设备销售；终端计量设备制造；终端计量设备销售；电气设备销售；机械设备销售；节能管理服务；普通机械设备安装服务；工程管理服务；配电开关控制设备制造；配电开关控制设备销售；电力设施器材制造；电力设施器材销售；电子产品销售；环境保护专用设备制造；环境保护专用设备销售；工业自动控制系统装置制造；工业自动控制系统装置销售；通用设备制造(不含特种设备制造)。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)许可项目：电气安装服务；建设工程设计；建设工程施工。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)。,工大科雅
688185,研发、生产和商业化符合中国及国际标准的创新型疫苗。,疫苗销售、药品生产工艺研究开发业务、技术转移及中间品销售,疫苗销售、药品生产工艺研究开发业务、技术转移及中间品销售,化学药品、生物药品、疫苗和诊断试剂的研发、技术转让，生产（凭许可证开展经营活动），并提供技术咨询服务；化学品、生物制品及耗材的批发（食品、药品、危险化学品及易燃、易爆、易制毒品除外）、进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,康希诺
300795,承办会展业务。,自办展、代理展、数字展及其他,自办展、代理展、数字展及其他,一般项目：会议及展览服务（出国办展须经相关部门审批）；体育赛事策划；企业形象策划；市场营销策划；企业管理咨询；信息咨询服务（不含许可类信息咨询服务）；礼仪服务；婚庆礼仪服务；摄像及视频制作服务；专业设计服务；平面设计；计算机系统服务；信息系统集成服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；文艺创作；数字文化创意内容应用服务；货物进出口；服装服饰批发；服装服饰零售；工程管理服务(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：第二类增值电信业务(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。,米奥会展
301085,提供覆盖算力全生命周期的端到端服务：从算力设备的选型、采购与集成交付，到AIDC数据中心的部署与运维，再到算力集群的运营及AI推理能力的词元输出。,算力设备集成销售、算力基础设施综合服务、数字化增值解决方案服务,算力设备集成销售、交付实施服务、技术运维服务、售后维保服务、数字化增值解决方案服务,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；人工智能基础软件开发；软件外包服务；软件销售；软件开发；计算机系统服务；信息系统集成服务；货物进出口；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：基础电信业务；第一类增值电信业务；第二类增值电信业务；职业中介活动。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,亚康股份
002564,压力容器设备、船舶、其他专用设备的设计制造、电力工程勘察设计及运维服务、仓储物流等。,压力容器设备、其他专用设备、船舶、仓储物流、电力工程勘察设计及运维服务,压力容器设备、其他专用设备、船舶、仓储物流、电力工程勘察设计及运维服务,设计制造：A1级高压容器、A2级第三类低、中压容器；制造：A级锅炉部件（限汽包）。一般经营项目：石油、化工、医学、纺织、化纤、食品机械制造维修；机械配件购销；槽罐车安装销售；海洋工程装备的设计与制造；自营和代理各类商品及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）许可项目：建设工程勘察；各类工程建设活动；建设工程设计；电力设施承装、承修、承试（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：工程管理服务；对外承包工程；发电技术服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；生物质能技术服务；电力设施器材销售；机械设备租赁（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,天沃科技
600540,皮棉业务、棉籽精深加工业务、矿产加工业务。,皮棉、棉籽、氧化钙/石灰石、不孕籽、三级棉油、棉蛋白、商贸及其他,皮棉、棉籽、氧化钙/石灰石、不孕籽、三级棉油、棉蛋白、商贸及其他,农作物种植；农业高新技术产品的研究及开发；农副产品（粮食收储、批发除外）的加工和销售。农业机械及配件的销售。棉花加工（由分支机构经营）。农作物种子生产及销售；籽棉收购、加工。水果、蔬菜的保鲜。针纺织品的生产、销售。农用节水设备的生产销售。皮棉经营。建材、地膜、五金交电产品、化工产品（国家有专项审批规定的除外）的销售；职业技能培训；职业技能认定；剧毒农药（氧化乐果）及其他非剧毒农药等危险化学品的经营。,新赛股份
002614,研发、销售一类医疗器械、保健器具、康复理疗器具（不含假肢、矫形器（辅助器具））、健身器材、美容器具、家居产品。,按摩椅、按摩小电器、新风系统、空气净化器,按摩椅、按摩小电器、新风系统、空气净化器,研发、销售：一类医疗器械、保健器具、康复理疗器具（不含假肢、矫形器（辅助器具）等须经前置审批许可的项目）、健身器材、美容器具、家居产品；开发、生产、加工、销售：电子按摩器材及其相关材料，座、靠、垫制品，低压电器配件，日用五金制品，电子产品，模具，家具，家电，化工原料（需经前置许可项目除外），聚氨酯泡棉制品及其提供技术转让、咨询、服务；经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外；未涉及前置审批许可的其他经营项目。,奥佳华
002141,覆铜板业务和兽用疫苗业务。,覆铜板及PP、饲料、猪用疫苗,覆铜板及PP、饲料、猪用疫苗,一般项目：以自有资金从事投资活动；企业管理；自有资金投资的资产管理服务；社会经济咨询服务；企业总部管理；电子专用材料制造；电子元器件制造；电子元器件批发；电子元器件零售；电子专用材料研发；新材料技术研发；有色金属压延加工；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,贤丰控股
600664,医药研发与制造、批发与零售业务。,化学制剂、生物制剂、中药、保健食品,葡萄糖酸锌口服溶液、哈药牌钙铁锌口服液、复方葡萄糖酸钙口服溶液、人促红素注射液、阿莫西林胶囊、双黄连口服液、注射用青霉素钠、祛风骨痛凝胶膏、拉西地平片、小儿氨酚黄那敏颗粒,药品生产；药品零售；药品批发；食品生产；食品销售；消毒剂生产（不含危险化学品）；用于传染病防治的消毒产品生产；第二类医疗器械生产；第三类医疗器械生产；医护人员防护用品生产（Ⅱ类医疗器械）；医用口罩生产；第三类医疗器械经营；从事直销业务；药品进出口；检验检测服务；旅游业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：日用化学产品制造；日用化学产品销售；生物基材料制造；生物基材料销售；专用化学产品制造（不含危险化学品）；专用化学产品销售（不含危险化学品）；基础化学原料制造（不含危险化学品等许可类化学品的制造）；第一类医疗器械生产；第一类医疗器械销售；第二类医疗器械销售；医护人员防护用品生产（Ⅰ类医疗器械）；医护人员防护用品批发；医护人员防护用品零售；医用口罩批发；医用口罩零售；纸制品制造；个人卫生用品销售；化工产品销售（不含许可类化工产品）；货物进出口；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；以自有资金从事投资活动；企业管理；企业管理咨询；租赁服务（不含许可类租赁服务）；住房租赁；非居住房地产租赁；土地使用权租赁。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准),哈药股份
